t	1	2	jV0100	
0.423	0.465151	0.232576	-0.697727	
0.424	0.45958	0.22979	-0.68937	
0.425	0.45399	0.226995	-0.680986	
0.426	0.448383	0.224192	-0.672575	
0.427	0.442758	0.221379	-0.664137	
0.428	0.437116	0.218558	-0.655674	
0.429	0.431456	0.215728	-0.647184	
0.43	0.425779	0.21289	-0.638669	
0.431	0.420086	0.210043	-0.630129	
0.432	0.414376	0.207188	-0.621563	
0.433	0.408649	0.204325	-0.612974	
0.434	0.402906	0.201453	-0.60436	
0.435	0.397148	0.198574	-0.595722	
0.436	0.391374	0.195687	-0.587061	
0.437	0.385584	0.192792	-0.578376	
0.438	0.379779	0.18989	-0.569669	
0.439	0.373959	0.18698	-0.560939	
0.44	0.368125	0.184062	-0.552187	
0.441	0.362275	0.181138	-0.543413	
0.442	0.356412	0.178206	-0.534618	
0.443	0.350534	0.175267	-0.525801	
0.444	0.344643	0.172321	-0.516964	
0.445	0.338738	0.169369	-0.508107	
0.446	0.33282	0.16641	-0.499229	
0.447	0.326888	0.163444	-0.490332	
0.448	0.320944	0.160472	-0.481415	
0.449	0.314987	0.157493	-0.47248	
0.45	0.309017	0.154508	-0.463525	
0.451	0.303035	0.151518	-0.454553	
0.452	0.297042	0.148521	-0.445562	
0.453	0.291036	0.145518	-0.436554	
0.454	0.285019	0.14251	-0.427529	
0.455	0.278991	0.139496	-0.418487	
0.456	0.272952	0.136476	-0.409428	
0.457	0.266902	0.133451	-0.400353	
0.458	0.260842	0.130421	-0.391262	
0.459	0.254771	0.127385	-0.382156	
0.46	0.24869	0.124345	-0.373035	
0.461	0.242599	0.1213	-0.363899	
0.462	0.236499	0.118249	-0.354748	
0.463	0.230389	0.115195	-0.345584	
0.464	0.224271	0.112135	-0.336406	
0.465	0.218143	0.109072	-0.327215	
0.466	0.212007	0.106004	-0.318011	
0.467	0.205863	0.102931	-0.308794	
0.468	0.19971	0.099855	-0.299565	
0.469	0.193549	0.0967747	-0.290324	
0.47	0.187381	0.0936907	-0.281072	
0.471	0.181206	0.0906029	-0.271809	
0.472	0.175023	0.0875115	-0.262535	
0.473	0.168833	0.0844167	-0.25325	
0.474	0.162637	0.0813186	-0.243956	
0.475	0.156434	0.0782172	-0.234652	
0.476	0.150226	0.0751128	-0.225338	
0.477	0.144011	0.0720054	-0.216016	
0.478	0.13779	0.0688951	-0.206685	
0.479	0.131564	0.0657822	-0.197347	
0.48	0.125333	0.0626666	-0.188	
0.481	0.119097	0.0595486	-0.178646	
0.482	0.112856	0.0564282	-0.169285	
0.483	0.106611	0.0533056	-0.159917	
0.484	0.100362	0.0501809	-0.150543	
0.485	0.0941083	0.0470542	-0.141162	
0.486	0.0878512	0.0439256	-0.131777	
0.487	0.0815906	0.0407953	-0.122386	
0.488	0.0753268	0.0376634	-0.11299	
0.489	0.06906	0.03453	-0.10359	
0.49	0.0627905	0.0313953	-0.0941858	
0.491	0.0565185	0.0282593	-0.0847778	
0.492	0.0502443	0.0251222	-0.0753665	
0.493	0.0439681	0.0219841	-0.0659522	
0.494	0.0376902	0.0188451	-0.0565353	
0.495	0.0314108	0.0157054	-0.0471161	
0.496	0.0251301	0.012565	-0.0376951	
0.497	0.0188484	0.00942422	-0.0282727	
0.498	0.012566	0.00628302	-0.0188491	
0.499	0.00628314	0.00314157	-0.00942472	
0.5	-2.09798e-15	-1.04899e-15	3.14697e-15	
0.501	-0.00628314	-0.00314157	0.00942472	
0.502	-0.012566	-0.00628302	0.0188491	
0.503	-0.0188484	-0.00942422	0.0282727	
0.504	-0.0251301	-0.012565	0.0376951	
0.505	-0.0314108	-0.0157054	0.0471161	
0.506	-0.0376902	-0.0188451	0.0565353	
0.507	-0.0439681	-0.0219841	0.0659522	
0.508	-0.0502443	-0.0251222	0.0753665	
0.509	-0.0565185	-0.0282593	0.0847778	
0.51	-0.0627905	-0.0313953	0.0941858	
0.511	-0.06906	-0.03453	0.10359	
0.512	-0.0753268	-0.0376634	0.11299	
0.513	-0.0815906	-0.0407953	0.122386	
0.514	-0.0878512	-0.0439256	0.131777	
