t	1	2	3	jO0200	jV0300	
0.01305	0.00414534	0.00829069	0.00414534	-8.29069e-06	4.14534e-06	
0.0131	0.00415963	0.00831927	0.00415963	-8.31927e-06	4.15963e-06	
0.01315	0.00417391	0.00834783	0.00417391	-8.34783e-06	4.17391e-06	
0.0132	0.00418818	0.00837636	0.00418818	-8.37636e-06	4.18818e-06	
0.01325	0.00420244	0.00840488	0.00420244	-8.40488e-06	4.20244e-06	
0.0133	0.00421669	0.00843338	0.00421669	-8.43338e-06	4.21669e-06	
0.01335	0.00423093	0.00846185	0.00423093	-8.46185e-06	4.23093e-06	
0.0134	0.00424516	0.00849031	0.00424516	-8.49031e-06	4.24516e-06	
0.01345	0.00425937	0.00851874	0.00425937	-8.51874e-06	4.25937e-06	
0.0135	0.00427358	0.00854716	0.00427358	-8.54716e-06	4.27358e-06	
0.01355	0.00428777	0.00857555	0.00428777	-8.57555e-06	4.28777e-06	
0.0136	0.00430196	0.00860392	0.00430196	-8.60392e-06	4.30196e-06	
0.01365	0.00431613	0.00863227	0.00431613	-8.63227e-06	4.31613e-06	
0.0137	0.0043303	0.0086606	0.0043303	-8.6606e-06	4.3303e-06	
0.01375	0.00434445	0.00868891	0.00434445	-8.68891e-06	4.34445e-06	
0.0138	0.0043586	0.00871719	0.0043586	-8.71719e-06	4.3586e-06	
0.01385	0.00437273	0.00874545	0.00437273	-8.74545e-06	4.37273e-06	
0.0139	0.00438685	0.0087737	0.00438685	-8.7737e-06	4.38685e-06	
0.01395	0.00440096	0.00880192	0.00440096	-8.80192e-06	4.40096e-06	
0.014	0.00441506	0.00883012	0.00441506	-8.83012e-06	4.41506e-06	
0.01405	0.00442915	0.00885829	0.00442915	-8.85829e-06	4.42915e-06	
0.0141	0.00444322	0.00888645	0.00444322	-8.88645e-06	4.44322e-06	
0.01415	0.00445729	0.00891458	0.00445729	-8.91458e-06	4.45729e-06	
0.0142	0.00447135	0.00894269	0.00447135	-8.94269e-06	4.47135e-06	
0.01425	0.00448539	0.00897078	0.00448539	-8.97078e-06	4.48539e-06	
0.0143	0.00449943	0.00899885	0.00449943	-8.99885e-06	4.49943e-06	
0.01435	0.00451345	0.0090269	0.00451345	-9.0269e-06	4.51345e-06	
0.0144	0.00452746	0.00905492	0.00452746	-9.05492e-06	4.52746e-06	
0.01445	0.00454146	0.00908292	0.00454146	-9.08292e-06	4.54146e-06	
0.0145	0.00455545	0.0091109	0.00455545	-9.1109e-06	4.55545e-06	
0.01455	0.00456943	0.00913885	0.00456943	-9.13885e-06	4.56943e-06	
0.0146	0.00458339	0.00916679	0.00458339	-9.16679e-06	4.58339e-06	
0.01465	0.00459735	0.0091947	0.00459735	-9.1947e-06	4.59735e-06	
0.0147	0.00461129	0.00922259	0.00461129	-9.22259e-06	4.61129e-06	
0.01475	0.00462523	0.00925045	0.00462523	-9.25045e-06	4.62523e-06	
0.0148	0.00463915	0.00927829	0.00463915	-9.27829e-06	4.63915e-06	
0.01485	0.00465306	0.00930611	0.00465306	-9.30611e-06	4.65306e-06	
0.0149	0.00466695	0.00933391	0.00466695	-9.33391e-06	4.66695e-06	
0.01495	0.00468084	0.00936168	0.00468084	-9.36168e-06	4.68084e-06	
0.015	0.00469472	0.00938943	0.00469472	-9.38943e-06	4.69472e-06	
0.01505	0.00470858	0.00941716	0.00470858	-9.41716e-06	4.70858e-06	
0.0151	0.00472243	0.00944486	0.00472243	-9.44486e-06	4.72243e-06	
0.01515	0.00473627	0.00947254	0.00473627	-9.47254e-06	4.73627e-06	
0.0152	0.0047501	0.0095002	0.0047501	-9.5002e-06	4.7501e-06	
0.01525	0.00476392	0.00952783	0.00476392	-9.52783e-06	4.76392e-06	
0.0153	0.00477772	0.00955544	0.00477772	-9.55544e-06	4.77772e-06	
0.01535	0.00479152	0.00958303	0.00479152	-9.58303e-06	4.79152e-06	
0.0154	0.0048053	0.00961059	0.0048053	-9.61059e-06	4.8053e-06	
0.01545	0.00481907	0.00963813	0.00481907	-9.63813e-06	4.81907e-06	
0.0155	0.00483282	0.00966565	0.00483282	-9.66565e-06	4.83282e-06	
0.01555	0.00484657	0.00969314	0.00484657	-9.69314e-06	4.84657e-06	
0.0156	0.0048603	0.00972061	0.0048603	-9.72061e-06	4.8603e-06	
0.01565	0.00487403	0.00974805	0.00487403	-9.74805e-06	4.87403e-06	
0.0157	0.00488774	0.00977547	0.00488774	-9.77547e-06	4.88774e-06	
0.01575	0.00490143	0.00980287	0.00490143	-9.80287e-06	4.90143e-06	
0.0158	0.00491512	0.00983024	0.00491512	-9.83024e-06	4.91512e-06	
0.01585	0.00492879	0.00985758	0.00492879	-9.85758e-06	4.92879e-06	
0.0159	0.00494245	0.00988491	0.00494245	-9.88491e-06	4.94245e-06	
0.01595	0.0049561	0.00991221	0.0049561	-9.91221e-06	4.9561e-06	
0.016	0.00496974	0.00993948	0.00496974	-9.93948e-06	4.96974e-06	
0.01605	0.00498336	0.00996673	0.00498336	-9.96673e-06	4.98336e-06	
0.0161	0.00499698	0.00999395	0.00499698	-9.99395e-06	4.99698e-06	
0.01615	0.00501058	0.0100212	0.00501058	-1.00212e-05	5.01058e-06	
0.0162	0.00502416	0.0100483	0.00502416	-1.00483e-05	5.02416e-06	
0.01625	0.00503774	0.0100755	0.00503774	-1.00755e-05	5.03774e-06	
0.0163	0.0050513	0.0101026	0.0050513	-1.01026e-05	5.0513e-06	
0.01635	0.00506485	0.0101297	0.00506485	-1.01297e-05	5.06485e-06	
0.0164	0.00507839	0.0101568	0.00507839	-1.01568e-05	5.07839e-06	
